## Pediatric RMS clinical trials drug map (auto-generated; do NOT hand-edit)
## Source: https://clinicaltrials.gov/api/v2/studies
## Condition query: rhabdomyosarcoma
## Generated: 2026-04-25 23:25 UTC
## Studies scanned: 374
## Drug rows: 310
## Schema: drug\tn_rms_trials\tmax_phase_in_rms\tany_recruiting\tany_pediatric\texample_nct\texample_title
##
## Phase 4 reads this file (when present) and upgrades pediatric_evidence to
## 'yes_trial' for any drug appearing here with any_pediatric=1, unless its
## existing pediatric_evidence is already 'yes_approved' (which outranks).
## To regenerate: bin/fetch_clinicaltrials.py
drug	n_rms_trials	max_phase_in_rms	any_recruiting	any_pediatric	example_nct	example_title
cyclophosphamide	41	NA	1	1	NCT02390843	Simvastatin With Topotecan and Cyclophosphamide in Relapsed and/or Refractory Pediatric Solid and CNS Tumors
ifosfamide	29	NA	1	1	NCT00379457	Combination Chemotherapy in Treating Young Patients With Nonmetastatic Rhabdomyosarcoma
filgrastim	26	NA	1	1	NCT00043979	Stem Cell Transplantation in Patients With High-Risk and Recurrent Pediatric Sarcomas
vincristine sulfate	21	PHASE3	1	1	NCT00043979	Stem Cell Transplantation in Patients With High-Risk and Recurrent Pediatric Sarcomas
doxorubicin hydrochloride	20	PHASE3	1	1	NCT00043979	Stem Cell Transplantation in Patients With High-Risk and Recurrent Pediatric Sarcomas
etoposide	20	NA	1	1	NCT04530487	Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Ped
temozolomide	20	PHASE2	1	1	NCT04337177	Flavored, Oral Irinotecan VAL-413 (Orotecan®) Given With Temozolomide for Treatment of Recurrent Pediatric Solid Tumors
dactinomycin	18	PHASE3	1	1	NCT00003958	Combination Chemotherapy in Treating Patients With Previously Untreated Rhabdomyosarcoma
carboplatin	13	NA	1	1	NCT00007813	Peripheral Stem Cell Transplantation Plus Chemotherapy in Treating Patients With Malignant Solid Tumors
melphalan	13	NA	1	1	NCT04530487	Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Ped
irinotecan hydrochloride	12	PHASE3	1	1	NCT03245450	Study Evaluating the Safety and Efficacy of Eribulin Mesilate in Combination With Irinotecan Hydrochloride in Children W
vincristine	11	PHASE3	1	1	NCT04796012	VITAS: Atezolizumab in Combination With Chemotherapy for Pediatric Relapsed/Refractory Solid Tumors
busulfan	10	NA	0	1	NCT00006246	Busulfan in Treating Children and Adolescents With Refractory CNS Cancer
irinotecan	9	PHASE2	1	1	NCT04796012	VITAS: Atezolizumab in Combination With Chemotherapy for Pediatric Relapsed/Refractory Solid Tumors
thiotepa	8	NA	0	1	NCT04530487	Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Ped
doxorubicin	7	PHASE3	1	1	NCT04213794	Heated Intra-peritoneal Chemotherapy With Doxorubicin and Cisplatin for Abdominal for Pelvic Tumors in Pediatric Patient
cisplatin	5	PHASE2	0	1	NCT04213794	Heated Intra-peritoneal Chemotherapy With Doxorubicin and Cisplatin for Abdominal for Pelvic Tumors in Pediatric Patient
fludarabine	5	PHASE2	1	1	NCT04897321	B7-H3-Specific Chimeric Antigen Receptor Autologous T-Cell Therapy for Pediatric Patients With Solid Tumors (3CAR)
gemcitabine	5	PHASE2	0	1	NCT03507491	Nab-paclitaxel in Combination with Gemcitabine for Pediatric Relapsed and Refractory Solid Tumors
mesna	5	NA	1	1	NCT04897321	B7-H3-Specific Chimeric Antigen Receptor Autologous T-Cell Therapy for Pediatric Patients With Solid Tumors (3CAR)
sargramostim	5	PHASE3	0	1	NCT00003958	Combination Chemotherapy in Treating Patients With Previously Untreated Rhabdomyosarcoma
topotecan hydrochloride	5	PHASE3	0	1	NCT00003958	Combination Chemotherapy in Treating Patients With Previously Untreated Rhabdomyosarcoma
vinorelbine	5	PHASE3	1	1	NCT04299113	Mocetinostat With Vinorelbine in Children, Adolescents & Young Adults With Refractory and/or Recurrent Rhabdomyosarcoma
vinorelbine tartrate	5	PHASE3	1	1	NCT00379457	Combination Chemotherapy in Treating Young Patients With Nonmetastatic Rhabdomyosarcoma
cixutumumab	4	PHASE2	0	1	NCT00720174	Cixutumumab and Doxorubicin Hydrochloride in Treating Patients With Unresectable, Locally Advanced, or Metastatic Soft T
cyclosporine	4	NA	0	1	NCT04530487	Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Ped
methotrexate	4	NA	0	1	NCT00253552	G-CSF-Treated Donor Bone Marrow Transplant in Treating Patients With Hematologic Disorders
methylprednisolone	4	PHASE2	0	1	NCT00112645	Donor Stem Cell Transplant in Treating Young Patients With Relapsed or Refractory Solid Tumors
nivolumab	4	PHASE2	1	1	NCT05302921	Neoadjuvant Dual Checkpoint Inhibition and Cryoablation in Relapsed/Refractory Pediatric Solid Tumors
pazopanib	4	PHASE3	1	1	NCT02180867	Radiation Therapy With or Without Combination Chemotherapy or Pazopanib Before Surgery in Treating Patients With Newly D
sirolimus	4	PHASE2	1	1	NCT00043979	Stem Cell Transplantation in Patients With High-Risk and Recurrent Pediatric Sarcomas
temsirolimus	4	PHASE3	1	1	NCT01614795	Cixutumumab and Temsirolimus in Treating Younger Patients With Recurrent or Refractory Sarcoma
therapeutic allogeneic lymphocytes	4	PHASE2	0	1	NCT00043979	Stem Cell Transplantation in Patients With High-Risk and Recurrent Pediatric Sarcomas
topotecan	4	PHASE2	1	1	NCT02390843	Simvastatin With Topotecan and Cyclophosphamide in Relapsed and/or Refractory Pediatric Solid and CNS Tumors
anti-thymocyte globulin	3	PHASE2	0	1	NCT00617929	Antithymocyte Globulin, Clofarabine, and Rituximab in Treating Patients After an Unsuccessful Stem Cell Transplant
dasatinib	3	PHASE2	0	1	NCT03041701	Insulin-like Growth Factor 1 Receptor (IGF-1R) Antibody AMG479 (Ganitumab) in Combination With the Src Family Kinase (SF
docetaxel	3	PHASE2	0	1	NCT05116800	Phase 2 Study of 9-ING-41 With Chemotherapy in Sarcoma
epirubicin hydrochloride	3	PHASE3	0	1	NCT00025441	Combination Chemotherapy in Treating Children With Metastatic Rhabdomyosarcoma or Other Malignant Mesenchymal Tumors
everolimus	3	PHASE2	0	1	NCT00187174	Everolimus for Treating Pediatric Patients With Recurrent or Refractory Tumors
fludarabine phosphate	3	PHASE2	0	1	NCT04530487	Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Ped
g-csf	3	NA	0	1	NCT01505569	Auto Transplant for High Risk or Relapsed Solid or CNS Tumors
imatinib mesylate	3	PHASE2	0	1	NCT00154388	Phase II Study of Imatinib Mesylate in Patients With Life Threatening Malignant Rare Diseases
nab-paclitaxel	3	PHASE2	0	1	NCT01962103	Study to Find a Safe Dose and Show Early Clinical Activity of Weekly Nab-paclitaxel in Pediatric Patients With Recurrent
olaparib	3	PHASE2	1	1	NCT03233204	Olaparib in Treating Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocytic Di
palbociclib	3	PHASE2	1	1	NCT03709680	Study Of Palbociclib Combined With Chemotherapy In Pediatric Patients With Recurrent/Refractory Solid Tumors
pegfilgrastim	3	PHASE3	1	1	NCT06709495	Phase 1/2 Trial to Evaluate the Safety and Efficacy of PEEL-224 in Combination With Vincristine and Temozolomide in Adol
tacrolimus	3	PHASE2	1	1	NCT04530487	Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Ped
trabectedin	3	PHASE2	0	1	NCT00070109	Trabectedin in Treating Young Patients With Recurrent or Refractory Soft Tissue Sarcoma or Ewing's Family of Tumors
9-ing-41	2	PHASE2	0	1	NCT05116800	Phase 2 Study of 9-ING-41 With Chemotherapy in Sarcoma
abemaciclib	2	PHASE2	0	1	NCT02644460	Abemaciclib in Children With DIPG or Recurrent/Refractory Solid Tumors
actinomycin d	2	PHASE2	1	1	NCT04388839	Evolutionary Therapy for Rhabdomyosarcoma
bevacizumab	2	PHASE2	1	1	NCT01871766	Risk-Adapted Focal Proton Beam Radiation and/or Surgery in Patients With Low, Intermediate and High Risk Rhabdomyosarcom
brostallicin	2	PHASE2	0	1	NCT00041249	Brostallicin in Treating Patients With Locally Advanced or Metastatic Soft Tissue Sarcoma
cabozantinib	2	PHASE2	1	1	NCT05135975	A Study of Cabozantinib as a Maintenance Agent to Prevent Progression or Recurrence in High-Risk Pediatric Solid Tumors
cytomegalovirus pp65-specific cytotoxic t lymphocytes	2	PHASE1	0	1	NCT00509691	Vaccine Therapy in Treating Patients Who Have Undergone a Donor Stem Cell Transplant and Have Cytomegalovirus Infection 
ensartinib	2	PHASE2	1	1	NCT03155620	Targeted Therapy Directed by Genetic Testing in Treating Pediatric Patients With Relapsed or Refractory Advanced Solid T
erdafitinib	2	PHASE2	1	1	NCT03210714	Erdafitinib in Treating Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocytic
etoposide phosphate	2	PHASE2	1	1	NCT00788125	Dasatinib, Ifosfamide, Carboplatin, and Etoposide in Treating Young Patients With Metastatic or Recurrent Malignant Soli
exatecan mesylate	2	PHASE2	0	1	NCT00055939	Exatecan Mesylate in Treating Children With Relapsed or Refractory Rhabdomyosarcoma
glutamine	2	NA	0	1	NCT00365768	Glutamine in Treating Neuropathy Caused by Vincristine in Young Patients With Lymphoma, Leukemia, or Solid Tumors
gm-csf	2	PHASE2	0	1	NCT00001564	A Pilot Study of Tumor-Specific Peptide Vaccination and IL-2 With or Without Autologous T Cell Transplantation in Recurr
indocyanine green	2	PHASE4	1	1	NCT04084067	Indocyanine Green (ICG) Guided Tumor Resection
ipilimumab	2	PHASE2	0	1	NCT05302921	Neoadjuvant Dual Checkpoint Inhibition and Cryoablation in Relapsed/Refractory Pediatric Solid Tumors
itraconazole	2	NA	0	1	NCT00079222	Voriconazole Compared With Itraconazole in Preventing Fungal Infections in Patients Undergoing Allogeneic Hematopoietic 
ivosidenib	2	PHASE2	1	1	NCT04195555	Ivosidenib in Treating Patients With Advanced Solid Tumors, Lymphoma, or Histiocytic Disorders With IDH1 Mutations (A Pe
ixabepilone	2	PHASE2	0	1	NCT00331643	Ixabepilone in Treating Young Patients With Refractory Solid Tumors
larotrectinib sulfate	2	PHASE2	1	1	NCT03213704	Larotrectinib in Treating Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocyt
