## RMS-specific expression summary (auto-generated by bin/fetch_openpedcan_expression.py)
## Source: OpenPedCan v15 gene-expression-rsem-tpm-collapsed.rds + histologies.tsv
## Generated: 2026-04-26 00:15 UTC
## RMS RNA-seq samples: 16
## Non-RMS pediatric RNA-seq samples: 4108
## Schema: gene\tn_rms\tmean_log2tpm_rms\tn_other\tmean_log2tpm_other\tlog2fc_rms_vs_other\texpression_zscore\texpression_score\tprovenance
## Method: per-gene log2(TPM+1) RMS-vs-other; z = log2fc / pooled-stdev; score = clip(z/2, 0, 1).
## Higher expression_score => gene is more up-regulated in RMS vs other pediatric cancers.
## To regenerate: see fetcher docstring (requires pyreadr in a venv).
gene	n_rms	mean_log2tpm_rms	n_other	mean_log2tpm_other	log2fc_rms_vs_other	expression_zscore	expression_score	provenance
BRD4	16	5.501	4108	4.573	+0.928	+0.708	0.354	OpenPedCan_v15_RNAseq
BRD9	16	4.586	4108	3.779	+0.807	+0.798	0.399	OpenPedCan_v15_RNAseq
CDK4	16	7.698	4108	5.564	+2.134	+1.386	0.693	OpenPedCan_v15_RNAseq
CDK6	16	4.706	4108	3.806	+0.900	+0.497	0.249	OpenPedCan_v15_RNAseq
CDKN2A	16	3.620	4108	2.514	+1.106	+0.579	0.289	OpenPedCan_v15_RNAseq
CHD4	16	7.480	4108	6.365	+1.115	+0.960	0.480	OpenPedCan_v15_RNAseq
FGFR4	16	7.002	4108	0.954	+6.048	+5.660	1.000	OpenPedCan_v15_RNAseq
FOXO1	16	4.319	4108	2.434	+1.885	+1.299	0.649	OpenPedCan_v15_RNAseq
HRAS	16	5.458	4108	4.136	+1.322	+1.063	0.532	OpenPedCan_v15_RNAseq
KRAS	16	4.284	4108	3.339	+0.945	+0.794	0.397	OpenPedCan_v15_RNAseq
MDM2	16	5.888	4108	4.895	+0.992	+0.745	0.373	OpenPedCan_v15_RNAseq
MTAP	16	4.512	4108	2.776	+1.736	+1.376	0.688	OpenPedCan_v15_RNAseq
MYOD1	16	5.883	4108	0.111	+5.771	+9.330	1.000	OpenPedCan_v15_RNAseq
NF1	16	4.744	4108	4.292	+0.451	+0.388	0.194	OpenPedCan_v15_RNAseq
NRAS	16	4.870	4108	3.844	+1.026	+0.818	0.409	OpenPedCan_v15_RNAseq
PAX3	16	2.601	4108	0.890	+1.710	+1.053	0.526	OpenPedCan_v15_RNAseq
PAX7	16	2.470	4108	0.168	+2.303	+3.497	1.000	OpenPedCan_v15_RNAseq
PIK3CA	16	3.409	4108	3.217	+0.192	+0.176	0.088	OpenPedCan_v15_RNAseq
PRMT5	16	6.075	4108	4.716	+1.359	+1.133	0.566	OpenPedCan_v15_RNAseq
PTEN	16	4.369	4108	4.966	-0.598	-0.500	0.000	OpenPedCan_v15_RNAseq
TP53	16	5.436	4108	4.150	+1.286	+0.956	0.478	OpenPedCan_v15_RNAseq
